"특별법범",주차장법,소계,-,700,-,375,-,441,-,338,-,213
"특별법범",주택법,소계,-,1090,-,1021,2,2052,-,2635,-,1658
"특별법범",직업안정법,소계,10,943,6,1090,2,756,5,588,1,615
"특별법범",집회및시위에관한법률,소계,20,1002,6,940,-,465,2,378,4,489
"특별법범",청소년보호법,소계,760,10686,820,10400,854,10727,745,9659,673,9449
"특별법범",총포·도검·화약류등의안전관리에관한법률,소계,7,434,3,240,-,55,11,420,7,404
"특별법범",최저임금법,소계,-,279,-,317,-,386,-,466,-,474
"특별법범",축산물위생관리법,소계,1,1833,-,1888,-,1506,-,638,-,574
"특별법범",출입국관리법,소계,10,2147,2,3127,9,3094,6,3592,8,4867
"특별법범",통신비밀보호법,소계,-,189,1,212,-,223,1,333,-,347
"특별법범",특가법(도주차량),소계,206,11180,153,8813,132,5461,65,3333,7,470
"특별법범",특허법,소계,-,328,-,250,-,299,-,268,-,294
"특별법범",폐기물관리법,소계,-,1300,-,1501,-,1919,-,1886,-,2613
"특별법범",풍속영업의규제에관한법률,소계,1,329,-,371,1,296,2,227,-,135
"특별법범",하천법,소계,-,326,-,280,-,278,-,261,-,289
"특별법범",학교보건법,소계,-,755,-,593,-,81,-,2,-,11
"특별법범",학원의설립운영및과외교습에관한법률,소계,-,1074,-,587,1,558,-,560,-,440
"특별법범",화물자동차운수사업법,소계,-,2879,-,1952,-,2748,-,3360,1,3537
"특별법범",화재로인한재해보상과보험가입에관한법률,소계,-,1,-,-,-,-,-,1,-,-
"특별법범",화재예방·소방시설설치유지및안전관리에관한법률,소계,-,635,-,238,-,39,-,449,-,980
"특별법범",화학물질관리법,소계,212,446,282,553,201,631,90,478,76,786
"특별법범",기타특별법,소계,230,40339,288,44519,362,52028,356,50660,421,57831
