No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),사행심,보복(소계),보복(소계),보복(소계),보복(소계),보복(소계),가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,계,이욕(소계),생활비마련,유흥비마련,도박비마련,허영사치심,치부,기타,사행심,보복(소계),신고·고소,수사협조,증언,기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
124,2018년,특별법범,수산업법,수산업법,"1,373",492,353,0,0,0,0,139,14,0,0,0,0,0,0,0,0,5,0,115,412,335
125,2018년,특별법범,수산자원관리법,수산자원관리법,"1,268",488,293,0,0,0,1,194,15,0,0,0,0,0,0,8,0,17,0,89,289,362
126,2018년,특별법범,물환경보전법,물환경보전법,885,38,21,0,0,0,0,17,0,0,0,0,0,0,0,0,0,8,0,159,216,464
127,2018년,특별법범,식품위생법,식품위생법,"8,341","1,748","1,045",0,0,0,9,694,82,0,0,0,0,0,0,4,13,68,1,970,"2,843","2,612"
128,2018년,특별법범,신용정보의이용및보호에관한법률,신용정보의이용및보호에관한법률,113,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,80,22
129,2018년,특별법범,아동·청소년의성보호에관한법률(성매수등),아동·청소년의성보호에관한법률(성매수등),671,152,46,32,0,1,0,73,22,0,0,0,0,0,0,40,35,52,0,5,187,178
130,2018년,특별법범,아동·청소년의성보호에관한법률(음란물등),아동·청소년의성보호에관한법률(음란물등),909,110,39,8,0,0,0,63,4,0,0,0,0,0,0,374,38,32,0,57,174,120
131,2018년,특별법범,아동복지법,아동복지법,"5,182",24,11,0,0,0,0,13,5,1,0,0,0,1,862,29,17,"1,612",55,322,"1,258",997
132,2018년,특별법범,액화석유가스의안전관리및사업법,액화석유가스의안전관리및사업법,105,6,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,44,25
133,2018년,특별법범,약사법,약사법,"1,268",172,63,0,0,0,3,106,4,0,0,0,0,0,0,0,0,19,0,186,474,413
134,2018년,특별법범,여객자동차운수사업법,여객자동차운수사업법,"1,113",345,137,0,0,0,2,206,5,0,0,0,0,0,0,1,1,3,0,55,417,286
135,2018년,특별법범,여신전문금융업법,여신전문금융업법,"1,995",406,99,9,2,1,1,294,24,0,0,0,0,0,1,16,5,250,0,102,561,630
136,2018년,특별법범,영유아보육법,영유아보육법,418,135,19,0,0,0,0,116,3,0,0,0,0,0,0,0,0,2,0,34,166,78
137,2018년,특별법범,옥외광고물등의관리와옥외광고산업진흥에관한법률,옥외광고물등의관리와옥외광고산업진흥에관한법률,368,73,34,3,0,0,0,36,3,0,0,0,0,0,0,0,0,2,0,40,192,58
138,2018년,특별법범,외국환거래법,외국환거래법,"1,140",110,52,0,0,0,0,58,5,0,0,0,0,0,0,0,1,7,0,8,77,932
139,2018년,특별법범,위험물안전관리법,위험물안전관리법,478,8,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,41,56,373
140,2018년,특별법범,유사수신행위의규제에관한법률,유사수신행위의규제에관한법률,"2,132",507,168,0,1,3,2,333,23,0,0,0,0,0,0,0,5,10,0,12,554,"1,021"
141,2018년,특별법범,의료기기법,의료기기법,667,66,26,0,0,0,5,35,4,0,0,0,0,0,0,1,0,5,0,86,245,260
142,2018년,특별법범,의료법,의료법,"6,672","1,717",630,0,1,0,19,"1,067",49,0,0,0,0,0,0,3,14,380,2,528,"2,421","1,558"
143,2018년,특별법범,자동차관리법,자동차관리법,"22,351","1,181",368,0,0,24,15,774,63,0,0,0,0,0,1,130,25,576,9,"3,618","8,437","8,311"
144,2018년,특별법범,자동차손해배상보장법,자동차손해배상보장법,"26,662",165,28,0,0,0,1,136,3,1,0,0,0,1,0,11,14,345,3,"2,549","3,312","20,259"
145,2018년,특별법범,자본시장과금융투자업에관한법률,자본시장과금융투자업에관한법률,794,66,21,6,0,1,0,38,36,0,0,0,0,0,0,0,0,2,0,9,94,587
146,2018년,특별법범,저작권법,저작권법,"9,600",488,129,1,0,1,2,355,31,0,0,0,0,0,0,71,3,106,4,680,"1,474","6,743"
147,2018년,특별법범,전자금융거래법,전자금융거래법,"23,569","8,014","3,623",38,9,4,15,"4,325",324,0,0,0,0,0,0,8,164,252,2,"2,784","8,665","3,356"
